id,name,bday,location,final,p
1587,Shane Black,1961-12-16,Pittsburgh,upload.wikimedia.org/wikipedia/commons/thumb/1/18/Shane_Black_by_Gage_Skidmore.jpg/330px-Shane_Black_by_Gage_Skidmore.jpg,"Shane Black (born December 16, 1961)[1] is an American filmmaker and actor who has written such films as Lethal Weapon and Lethal Weapon 2, The Monster Squad, The Last Boy Scout, Last Action Hero and The Long Kiss Goodnight. As an actor, Black is best known for his role as Rick Hawkins in Predator (1987)."
1588,Alec Coppel,,I Killed the Count,,"Coppel was born in Melbourne and attended Wesley College. He moved to England in the 1920s to study medicine at Cambridge University, but dropped out before graduating and went to work in advertising, writing in his spare time.  Coppel's first stage plays were Short Circuit (1935) and The Stars Foretell (1936)."
1589,Juhi Chaturvedi,,,,"Juhi Chaturvedi (born 1975) is an Indian screenwriter and advertising professional based in Mumbai. Chaturvedi has written scripts for Bollywood films Vicky Donor (2012) Piku (2015),and October (2018).[2]"
1590,Salman Khan,1965-12-27,Indore,upload.wikimedia.org/wikipedia/commons/8/86/Salman_Khan_at_Renault_Star_Guild_Awards.jpg,
1591,Annu Kapoor,,,,"Annu Kapoor (born as Anil Kapoor[1][2][3][4] on 20 February 1956)[5] is an Indian film actor and television presenter best-remembered for hosting the vocal reality show Antakshari from 1993 to 2006 and his roles in Mr. India (1987 film), Vicky Donor (2012) and Jolly LLB 2 (2017). He received Filmfare award as well as National Film Award for Best Supporting Actor for Vicky Donor."
1592,Vikram,,,,
1593,Bob Gale,1951-05-25,University of Southern California,,"Gale was born to a Jewish family[1] in University City, Missouri, the son of Maxine, née Kippel, (died 2010),[2] an art dealer and violinist, and Mark R. Gale (1922-2018),[3] an attorney, World War II veteran, and later a University City councilman.[4] He is the oldest of his two other brothers, Charlie, who wrote the screenplay for Ernest Scared Stupid,[5] and Randy. Bob Gale received a B.A. in Cinema in 1973 from the University of Southern California, where he wrote fanzine reviews for classmate Mike Glyer's fanzine, and met classmate Zemeckis.[citation needed]"
1594,Manuel Miranda,,,,"Miranda accessed the Senate servers through a security lapse with the aid of Jason Lundell, a clerk in the Senate’s nominations unit, during 2001–2003. These memos were later leaked, and published by The Wall Street Journal. The scandal became known as memogate or Mannygate. When asked if he broke the rules of common courtesy by reading other people's mail, Miranda responded, ""My parents never taught me not to read other people's mail. They always read my mail.""[1]"
1595,R. Lee Ermey,,,,"Ronald Lee Ermey (March 24, 1944 – April 15, 2018) was an American actor, voice actor and Marine corps drill instructor. He achieved fame when he played Gunnery Sergeant Hartman in the 1987 film Full Metal Jacket, which earned him a Golden Globe Award nomination for Best Supporting Actor. Ermey was also a United States Marine Corps staff sergeant and an honorary gunnery sergeant."
1596,Steve Kloves,1960-03-18,Screenwriter,,"Kloves, born in Austin, Texas, grew up in Sunnyvale, California,[2] where he graduated from Fremont High School.  He attended the University of California, Los Angeles but dropped out when he was not admitted into the film school in his third year.[2]  As an unpaid intern for a Hollywood agent, he gained attention for a screenplay he wrote called Swings.  This led to a meeting where he successfully pitched Racing with the Moon (1984).[2]"
1597,"Clyde Bruckman, Buster Keaton",1960-03-18,Screenwriter,,
1598,Dibakar Banerjee,1969-06-21,New Delhi,upload.wikimedia.org/wikipedia/commons/thumb/9/99/Dibakar_Banerjee_at_%27Gangs_Of_Wasseypur%27_screening_12.jpg/330px-Dibakar_Banerjee_at_%27Gangs_Of_Wasseypur%27_screening_12.jpg,"Dibakar Banerjee  (born 21 June 1969) is an Indian film director, screenwriter, producer and advertisement-filmmaker known for his work in Hindi films. Banerjee started his career in advertising, being a feature filmmaker, he still continues to be an ad-filmmaker.[1] He also runs his own film production company, Dibakar Banerjee Productions.[2]"
1599,Woody Harrelson,1961-07-23,"Midland, Texas",upload.wikimedia.org/wikipedia/commons/thumb/5/57/Woody_Harrelson_October_2016.jpg/330px-Woody_Harrelson_October_2016.jpg,"Woodrow Tracy Harrelson (born July 23, 1961) is an American actor, comedian, and playwright. His breakout role came in 1985 as bartender Woody Boyd in the television sitcom Cheers. He later became known for his portrayals of Billy Hoyle in White Men Can't Jump (1992), Mickey Knox in Natural Born Killers (1994), and Larry Flynt in The People vs. Larry Flynt (1996). More recent roles include Tallahassee in Zombieland (2009), Capt. Tony Stone in The Messenger (2009), Dave Brown in Rampart (2011), Charlie Frost in 2012 (2009), Haymitch Abernathy in The Hunger Games film series (2012–2015), Merritt McKinney in the Now You See Me film series (2013–2016), the Colonel in War for the Planet of the Apes (2017), Bill Willoughby in Three Billboards Outside Ebbing, Missouri (2017), Tobias Beckett in Solo: A Star Wars Story (2018), and Maney Gault in The Highwaymen (2019)."
1600,Robert Riskin,1897-03-30,"Los Angeles, California",,"Robert Riskin was born on New York City's Lower East side to Jewish parents, Bessie and Jakob, who had emigrated from Czarist Russia to escape conscription. He and his two brothers and two sisters grew up speaking Yiddish. An enthusiast of the vaudeville stage, the teen-age Riskin took every opportunity to sneak into the theatre and catch the shows. He was a particular fan of the comedians who performed there, and he habitually transcribed their jokes into a notebook he carried with him. While still a teen-ager, Riskin took a job with a shirt-manufacturing firm, Heidenheim and Levy. The partners of this firm had a sideline business, investing in the new film industry. They sent the seventeen-year-old Riskin to Florida to run a production company for them. Riskin turned out one- and two-reel films until his enlistment in the Army during World War I.[2]"
1601,Stephen Beresford,,Royal Academy of Dramatic Art,,"Stephen Beresford (born c. 1972[1]) is an English actor and writer.  He is best known for writing the play The Last of the Haussmans, produced by the National Theatre in 2012,[2] and the 2014 motion picture Pride, which won the Queer Palm award at the 2014 Cannes Film Festival.[3][4]"
1602,Shane Van Dyke,1979-08-28,Actor,,"Van Dyke was born in Los Angeles, California, the son of Mary (Carey) Van Dyke and actor Barry Van Dyke. He has two brothers, Wes and Carey, and a sister, Taryn Van Dyke. He is the paternal grandson of the entertainer Dick Van Dyke. He is also a grandnephew of Jerry Van Dyke and first cousin once removed of Jerry's daughter Kelly Jean Van Dyke. His favorite cousin is Sadie Ann Banks."
1603,Michael Fassbender,1977-04-02,Heidelberg,upload.wikimedia.org/wikipedia/commons/thumb/6/63/Michael_Fassbender_by_Gage_Skidmore_2015.jpg/330px-Michael_Fassbender_by_Gage_Skidmore_2015.jpg,"Michael Fassbender (born 2 April 1977) is an Irish-German actor. His feature film debut was in the fantasy war epic 300 (2007) as a Spartan warrior; his earlier roles included various stage productions, as well as starring roles on television such as in the HBO miniseries Band of Brothers (2001) and the Sky One fantasy drama Hex (2004–05). He first came to prominence for his role as IRA activist Bobby Sands in Hunger (2008), for which he won a British Independent Film Award. Subsequent roles include in the independent film Fish Tank (2009), as a Royal Marines lieutenant in Inglourious Basterds (2009), as Edward Rochester in the 2011 film adaptation of Jane Eyre, as Carl Jung in A Dangerous Method (2011), as the sentient android David 8 in Prometheus (2012) and its sequel, Alien: Covenant (2017), and in the musical comedy-drama Frank (2014) as an eccentric musician loosely inspired by Frank Sidebottom."
1604,Ram Charan,1985-03-27,,upload.wikimedia.org/wikipedia/commons/thumb/3/36/Ram_Charan_at_the_GQ_Best_Dressed_Men_2016_ceremony.jpg/330px-Ram_Charan_at_the_GQ_Best_Dressed_Men_2016_ceremony.jpg,
1605,Benjamin Bratt,1963-12-16,"San Francisco, California",upload.wikimedia.org/wikipedia/commons/thumb/1/13/Benjamin_Bratt_-_parade_Grand_Master.jpg/330px-Benjamin_Bratt_-_parade_Grand_Master.jpg,"Benjamin Bratt (born December 16, 1963) is an American actor. On television, Bratt portrayed NYPD Detective Rey Curtis on the NBC drama series Law & Order (for which he was nominated for the 1999 Primetime Emmy Award for Outstanding Supporting Actor in a Drama Series), Dr. Jake Reilly on ABC's Private Practice (2011–2013), Steve Navarro on 24: Live Another Day (2014), and Jahil Rivera on Star (2016–2018)."
